OBJECTID,PRIME,SOURCE,SACC,SDATE,DIVISION,FDMID,ADDDATE,MODDATE,Shape__Area,Shape__Length
50566,30,HRFE,Interactive,2011-11-22T00:00:00.000Z,6,300D,,2019-10-29T12:46:04.000Z,930529043.730469,152327.449524508
50567,41,HRFE,Interactive,2017-02-27T00:00:00.000Z,4,411H,,2019-10-29T12:46:04.000Z,1465610.11328125,14061.921940082
50568,58,HRFE,Interactive,2013-02-07T00:00:00.000Z,2,580A,,2019-10-29T12:46:04.000Z,58680157.8671875,53925.8069372907
50569,11,HRFE,Interactive,2013-02-12T00:00:00.000Z,3,111H,,2019-10-29T12:46:04.000Z,1719969.02734375,23447.6175325544
50570,06,HRFE,Interactive,2016-10-27T00:00:00.000Z,2,64D,,2019-10-29T12:46:04.000Z,28277614.7265625,23661.5614200627
50571,06,HRFE,Interactive,2011-11-22T00:00:00.000Z,2,63A,,2019-10-29T12:46:04.000Z,9707684.96875,13935.9140263898
50572,24,HRFE,Interactive,2011-11-22T00:00:00.000Z,5,241D,,2019-10-29T12:46:04.000Z,411464173.027344,114970.091331771
50573,13,HRFE,Interactive,2011-11-22T00:00:00.000Z,3,13A,,2019-10-29T12:46:04.000Z,5962926.39453125,13489.0769580489
50574,42,HRFE,Interactive,2011-11-22T00:00:00.000Z,4,420D,,2019-10-29T12:46:04.000Z,85216013.8632813,56163.4911067685
50575,EN,HRFE,Interactive,2011-11-22T00:00:00.000Z,0,707E,,2019-10-29T12:46:04.000Z,153250455.203125,81198.4146449325
50576,48,HRFE,Interactive,2011-11-22T00:00:00.000Z,0,992E,,2019-10-29T12:46:04.000Z,58531840.9804688,48860.9128324332
50577,EN,HRFE,Interactive,2011-11-22T00:00:00.000Z,4,703H,,2019-10-29T12:46:04.000Z,498971.765625,6005.13061630951
50578,17,HRFE,Interactive,2011-11-22T00:00:00.000Z,3,174C,,2019-10-29T12:46:04.000Z,9209463.4140625,13134.750294858
