YEAR,INCIDENTS,RATES,id,Region Id
12/31/2010 0:00,0,0,3,2
12/31/2011 0:00,0,0,13,1
12/31/2013 0:00,0,0,1,3
12/31/2011 0:00,4,0.99,6,4
12/31/2010 0:00,0,0,1,2
12/31/2013 0:00,1,0.24,6,4
12/31/2012 0:00,0,0,5,2
12/31/2013 0:00,0,0,6,3
12/31/2014 0:00,0,0,4,3
12/31/2014 0:00,1158,279.98,7,4
12/31/2010 0:00,0,0,13,2
12/31/2010 0:00,0,0,13,1
12/31/2012 0:00,325,79.89,13,4
12/31/2017 0:00,0,0,6,1
12/31/2016 0:00,0,0,1,1
12/31/2017 0:00,0,0,1,1
12/31/2011 0:00,0,0,6,2
12/31/2014 0:00,0,0,1,3
12/31/2010 0:00,0,0,1,2
12/31/2014 0:00,0,0,3,1
12/31/2014 0:00,0,0,10,2
12/31/2010 0:00,0,0,5,2
12/31/2012 0:00,0,0,6,1
12/31/2013 0:00,0,0,9,1
12/31/2016 0:00,330,77.65,6,4
12/31/2014 0:00,0,0,11,1
12/31/2017 0:00,0,0,11,1
12/31/2013 0:00,0,0,11,2
12/31/2011 0:00,0,0,8,1
12/31/2016 0:00,0,0,13,2
12/31/2011 0:00,952,236.56,5,4
12/31/2012 0:00,0,0,13,3
12/31/2015 0:00,0,0,12,3
12/31/2012 0:00,12,2.95,4,4
12/31/2015 0:00,83,19.91,9,4
12/31/2010 0:00,0,0,6,3
12/31/2013 0:00,0,0,5,3
12/31/2011 0:00,1,0,12,3
12/31/2013 0:00,0,0,4,3
12/31/2012 0:00,0,0,7,3
12/31/2014 0:00,93,22.49,15,4
12/31/2015 0:00,1,0.24,6,4
12/31/2011 0:00,2142,532.25,1,4
12/31/2010 0:00,0,0,6,3
12/31/2016 0:00,914,215.07,11,4
12/31/2013 0:00,73,17.8,5,4
12/31/2011 0:00,1110,275.82,11,4
12/31/2010 0:00,98,24.61,9,4
12/31/2013 0:00,1,0,10,3
12/31/2017 0:00,0,0,14,2
12/31/2016 0:00,0,0,1,2
12/31/2017 0:00,231,53.51,13,4
12/31/2015 0:00,0,0,1,3
12/31/2015 0:00,0,0,9,2
12/31/2015 0:00,908,217.82,11,4
12/31/2012 0:00,626,153.89,1,4
12/31/2012 0:00,330,81.12,6,4
12/31/2012 0:00,0,0,12,1
12/31/2015 0:00,0,0,7,3
12/31/2014 0:00,0,0,14,1
12/31/2015 0:00,0,0,5,3
12/31/2014 0:00,0,0,12,2
12/31/2014 0:00,0,0,5,3
12/31/2013 0:00,0,0,11,1
12/31/2013 0:00,0,0,8,1
12/31/2015 0:00,0,0,6,1
12/31/2011 0:00,0,0,7,2
12/31/2013 0:00,0,0,6,1
12/31/2010 0:00,0,0,14,1
12/31/2014 0:00,0,0,15,1
12/31/2010 0:00,0,0,8,2
12/31/2012 0:00,0,0,6,2
12/31/2012 0:00,0,0,15,1
12/31/2017 0:00,0,0,4,2
12/31/2014 0:00,0,0,5,3
12/31/2013 0:00,0,0,5,1
12/31/2016 0:00,0,0,5,2
12/31/2010 0:00,2287,574.26,1,4
12/31/2014 0:00,191,46.18,13,4
12/31/2016 0:00,0,0,13,1
12/31/2016 0:00,1018,239.54,7,4
12/31/2012 0:00,0,0,12,3
12/31/2017 0:00,0,0,8,1
12/31/2015 0:00,8,1.92,4,4
12/31/2010 0:00,0,0,4,3
12/31/2016 0:00,0,0,1,3
12/31/2016 0:00,0,0,1,3
12/31/2012 0:00,0,0,3,1
12/31/2011 0:00,0,0,5,1
12/31/2017 0:00,0,0,6,3
12/31/2012 0:00,0,0,12,2
12/31/2016 0:00,0,0,5,1
12/31/2013 0:00,0,0,5,2
12/31/2011 0:00,0,0,1,3
12/31/2014 0:00,1679,405.95,1,4
12/31/2013 0:00,0,0,15,1
12/31/2010 0:00,0,0,1,1
12/31/2011 0:00,0,0,14,2
12/31/2017 0:00,336,77.83,13,4
12/31/2011 0:00,0,0,5,2
12/31/2016 0:00,3,0.71,6,4
12/31/2017 0:00,120,27.8,14,4
12/31/2011 0:00,0,0,14,1
12/31/2010 0:00,0,0,4,2
12/31/2016 0:00,0,0,9,3
12/31/2010 0:00,39,9.79,12,4
12/31/2013 0:00,0,0,14,3
12/31/2011 0:00,0,0,15,2
12/31/2012 0:00,0,0,10,1
12/31/2015 0:00,0,0,5,2
12/31/2016 0:00,115,27.06,15,4
12/31/2010 0:00,0,0,5,1
12/31/2017 0:00,84,19.46,9,4
12/31/2013 0:00,0,0,5,2
