OBJECTID,BUSSTOPID,STOPNUMBER,LTAR,LOCATION,FCODE,ADDDATE,MODDATE
1665,BS2777,6445,Yes,Innovation Dr After Hammonds Plains Rd (6445),Conventional Transit Bus Stop,2018-08-28T00:00:00.000Z,2019-11-25T00:00:00.000Z
1666,BS2502,8084,Yes,Purcells Cove Rd At Ferguson Cove Rd (8084),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2019-11-25T00:00:00.000Z
1667,BS1901,8104,Yes,Purcells Cove Rd After Battery Dr (8104),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2019-11-25T00:00:00.000Z
1668,BS2388,6260,Yes,Bedford Hwy After Oakmount Dr (6260),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2019-11-25T00:00:00.000Z
1669,BS1902,8105,Yes,Purcells Cove Rd Opposite Civic 3101 (8105),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2019-11-25T00:00:00.000Z
1670,BS962,8170,Yes,Riverview Cr At Civic 46 (8170),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-10-30T00:00:00.000Z
1671,BS1908,8111,Yes,Purcells Cove Rd Before Homestead Rd (8111),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2019-11-25T00:00:00.000Z
1672,BS1907,8110,Yes,Purcells Cove Rd Before Country Cr (8110),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2019-11-25T00:00:00.000Z
1673,BS963,8173,Yes,Riverview Cr After Rockmanor Dr (8173),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-10-30T00:00:00.000Z
1674,BS640,8123,Yes,Purcells Cove Rd Opposite Devil's Hill Rd (8123),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2019-11-25T00:00:00.000Z
1675,BS954,8161,Yes,Raymoor Dr At Civic 22 (8161),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-10-30T00:00:00.000Z
1676,BS953,8160,Yes,Raymoor Dr After Strath Ln (8160),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-10-30T00:00:00.000Z
1677,BS1128,8338,Yes,Spring Garden Rd Before Barrington St (8338),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2019-11-25T00:00:00.000Z
1678,BS1441,8790,Yes,Hwy 207 Before Aspen Rd (8790),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-10-30T00:00:00.000Z
1679,BS1126,8336,Yes,Spring Garden Rd After Dresden Row (8336),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2019-11-25T00:00:00.000Z
1680,BS1124,8334,Yes,Spring Garden Rd Before South Park St (8334),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
1681,BS1127,8337,Yes,Spring Garden Rd After Summer St (8337),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2019-11-25T00:00:00.000Z
1682,BS1442,8791,Yes,Hwy 207 At Les Collins Ave (8791),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-10-30T00:00:00.000Z
1683,BS1125,8335,Yes,Spring Garden Rd Before Summer St (8335),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2019-11-25T00:00:00.000Z
1684,BS9,8904,Yes,Hwy 207 Opposite Les Collins Ave (8904),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-10-30T00:00:00.000Z
1685,BS2698,8646,Yes,Hwy 207 After Keller Ln (8646),Conventional Transit Bus Stop,2016-11-14T00:00:00.000Z,2018-10-30T00:00:00.000Z
1686,BS2046,6404,Yes,Chebucto Rd Before Connaught Ave (6404),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
1687,BS715,6892,Yes,Herring Cove Rd Before Civic 427 (6892),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
1688,BS2467,6873,Yes,Herring Cove Rd At Civic 412 (6873),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
1689,BS1443,8792,Yes,Hwy 207 Before Johnson Ave (8792),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-10-30T00:00:00.000Z
1690,BS1446,8795,Yes,Hwy 207 Opposite Civic 6344 (8798),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-10-30T00:00:00.000Z
1691,BS7,8902,Yes,Hwy 207 After Murphys Way (8902),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-03-29T00:00:00.000Z
1692,BS1914,8094,Yes,Purcells Cove Rd After Aarons Way (8094),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2019-11-25T00:00:00.000Z
1693,BS6,8901,Yes,Hwy 207 Before Bellefontaine Rd (8901),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-10-30T00:00:00.000Z
1694,BS983,7012,Yes,Karen Dr After Hillsboro Dr (7012),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-11-01T00:00:00.000Z
1695,BS984,7013,Yes,Karen Dr Before Hillsboro Dr (7013),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-11-01T00:00:00.000Z
1696,BS2356,6989,Yes,Joseph Zatzman Dr Before Topple Dr (6989),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-11-01T00:00:00.000Z
1697,BS1559,7147,Yes,Hornes Rd After Cow Bay Rd (7147),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-11-01T00:00:00.000Z
1698,BS835,6975,Yes,Irving St Before Pleasant St (6975),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-11-01T00:00:00.000Z
1699,BS1671,8678,Yes,Cow Bay Rd Before Hornes Rd (8678),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-11-01T00:00:00.000Z
1700,BS837,6977,Yes,James St At Civic 27 (6977),Conventional Transit Bus Stop,2016-07-29T00:00:00.000Z,2018-11-01T00:00:00.000Z
