CIV_POSTAL,CIV_ID,STR_CODE,GSA_NAME
B2W 0B2,140554,16477,DARTMOUTH
B3A 1T5,51663,6318,DARTMOUTH
B3A 1N6,54954,6723,DARTMOUTH
B3J 1C2,77173,576,HALIFAX
B3L 3G8,75160,756,HALIFAX
B3L 3T3,73326,699,HALIFAX
B3N 2G7,19717,795,HALIFAX
B3K 3B9,67613,360,HALIFAX
B3R 2N6,128880,15831,HALIFAX
B3R 2N3,128971,15710,HALIFAX
B3L 1C4,127668,675,HALIFAX
B3H 3Z2,78353,619,HALIFAX
B2X 3S4,105542,6268,DARTMOUTH
B3S 1L7,122041,15510,HALIFAX
B3M 4T7,142706,15584,HALIFAX
B3N 1H6,78194,91,HALIFAX
B3J 1W6,71441,405,HALIFAX
B2W 3H9,50115,6600,DARTMOUTH
B3L 2N2,69434,415,HALIFAX
B3M 4V9,121629,15686,HALIFAX
B2W 6S1,134004,16240,DARTMOUTH
B2W 6L7,61314,15544,DARTMOUTH
B2Y 4V5,121130,15627,DARTMOUTH
B2W 6K4,61675,15541,DARTMOUTH
B3N 3J2,127714,15553,HALIFAX
B3P 1Y6,83085,684,HALIFAX
B3L 1R5,71933,744,HALIFAX
B3N 3E9,21570,136,HALIFAX
B3N 2Z8,21488,136,HALIFAX
B3M 1P2,12851,125,HALIFAX
B3M 2R8,12926,333,HALIFAX
B3M 1T6,12203,800,HALIFAX
B3M 1R1,11943,148,HALIFAX
B2W 2Y3,55301,6275,DARTMOUTH
B3A 2V9,55422,6653,DARTMOUTH
B3P 1N2,84044,539,HALIFAX
B2W 4Z1,110991,6314,DARTMOUTH
B2W 2L8,111031,6708,DARTMOUTH
B3N 2M5,16873,215,HALIFAX
B3P 2K1,82252,694,HALIFAX
B2X 2T7,109063,6178,DARTMOUTH
B3K 4K6,68798,430,HALIFAX
B3N 1B2,81201,883,HALIFAX
B3P 2H8,84592,706,HALIFAX
B3A 1A2,61494,6608,DARTMOUTH
B3P 1X6,83104,420,HALIFAX
B3P 1A9,81526,320,HALIFAX
B3N 2M2,19585,724,HALIFAX
B2X 3S6,106835,6688,DARTMOUTH
B3J 2J4,75763,96,HALIFAX
