OBJECTID,PARK_ID,OWNER,HRMINTRST,HECTARES,NAMESTATUS,NAMEAPRDTE,PARK_MAINT,GROUP_ID,ADDDATE,MODDATE,SDATE,SOURCE,SACC,GLOBALID,PARK_NAME,PARK_TYPE,DEVELOPED,CIVIC_ID,Shape__Area,Shape__Length
542,1667,Halifax,Yes,0.07,N,,HRM,1667,2019-02-08T21:05:13.000Z,2018-01-22T19:23:05.000Z,2009-03-18T00:00:00.000Z,Field Work Operations,,71bd057f-452d-4f73-8314-9ddf5995ed85,FOSTER PARK,Community,Yes,72153,1349.09375,164.4718261
543,526,Halifax,Yes,0.78,N,,HRM,526,2019-02-08T21:05:13.000Z,2018-01-22T19:23:03.000Z,2009-04-28T00:00:00.000Z,Field Work Operations,,39ca489d-6ca1-4f2f-b262-6842056344ed,MARY LAWSON PARK,Community,Yes,130270,15436.00781,583.3208547
544,532,Halifax,Yes,0.15,N,,HRM,532,2019-02-08T21:05:13.000Z,2018-01-22T19:23:05.000Z,2009-05-05T00:00:00.000Z,Asset Management Project,,86f34818-63cd-4476-bc29-d0f5e98f7d5d,MUNROE PARK,Neighbourhood,Yes,147423,2964.449219,483.9573454
545,534,Halifax,Yes,3.22,N,,HRM,534,2019-02-08T21:05:13.000Z,2018-01-22T19:23:03.000Z,2008-03-14T00:00:00.000Z,Field Work Operations,,b5e3eea0-dde7-495b-8340-5f8996b0644c,LAURIE LIVELY PARK,Community,Yes,130188,63942.30469,1016.625129
546,535,Halifax,Yes,0.03,N,,HRM,535,2019-02-08T21:05:13.000Z,2018-01-22T19:23:02.000Z,2009-06-02T00:00:00.000Z,Asset Management Project,,cd872ce6-f600-4896-a503-f20babe20e77,ANDREW COBB PARK,Community,Yes,127545,538.3203125,120.4658975
547,537,Halifax,Yes,0.6,N,,HRM,537,2019-02-08T21:05:13.000Z,2018-01-22T19:23:02.000Z,2009-04-27T00:00:00.000Z,Field Work Operations,,ce041bce-bb02-4941-80fa-e39736608d24,BREAKERS DISTRICT PARK,District,Yes,124487,11794.84766,969.2615716
548,1416,Halifax,Yes,0.15,N,,HRM,1416,2019-02-08T21:05:13.000Z,2018-01-22T19:23:04.000Z,2009-11-10T00:00:00.000Z,Asset Management Project,,2528e72c-8e48-424f-b6bd-7abd1f3cb0bd,SALMON RIVER DRIVE PARK,Neighbourhood,Yes,146641,2878.375,218.433309
549,1417,Halifax,Yes,0.42,N,,HRM,1417,2019-02-08T21:05:13.000Z,2018-01-22T19:23:05.000Z,2009-11-09T00:00:00.000Z,Asset Management Project,,56880b04-0763-492e-9882-abff84793ea2,DEERMIST DRIVE PARK,Neighbourhood,No,133226,8365.953125,470.1890914
550,1423,Halifax,Yes,0.2,N,,HRM,1423,2019-02-08T21:05:13.000Z,2018-01-22T19:23:04.000Z,2009-11-09T00:00:00.000Z,Asset Management Project,,af696788-aa4f-4e1d-adb8-ef5d9d007252,BLUEROCK ROAD PARK,Community,No,146644,3926.253906,340.9462674
551,1425,Halifax,Yes,0.68,N,,HRM,1425,2019-02-08T21:05:13.000Z,2018-01-22T19:23:05.000Z,2009-11-10T00:00:00.000Z,Asset Management Project,,f4376a20-7437-4ca2-8ac9-fb06907e2604,SANDY LANE PARK,Neighbourhood,No,126382,13441.78906,466.3714559
552,431,Halifax,Yes,3.75,N,,HRM,431,2019-02-08T21:05:13.000Z,2018-01-22T19:23:02.000Z,2009-10-28T00:00:00.000Z,Asset Management Project,,44a5465c-e14a-4b6d-aa61-c7f1418bcd06,BEAVER BANK KINSAC PARK,District,Yes,94448,74585.99609,2033.724974
553,1238,Halifax,Yes,2.2,N,,HRM,1238,2019-02-08T21:05:13.000Z,2018-01-22T19:23:02.000Z,2008-04-02T00:00:00.000Z,Field Work Operations,,04ad0596-bce4-4eb8-8722-d1f17be27c27,LAKE ECHO COMMUNITY PLAY PARK,Community,Yes,134944,43624.73438,1156.983278
554,1241,Halifax,Yes,0.28,N,,HRM,1241,2019-02-08T21:05:13.000Z,2018-01-22T19:23:04.000Z,2009-11-09T00:00:00.000Z,Asset Management Project,,411cbd4b-4a84-4eda-a69c-9ca9d662306d,CHAMBERLAIN DRIVE PARK,Neighbourhood,Yes,106040,5447.152344,298.4197239
555,1243,Halifax,Yes,0.31,N,,HRM,1243,2019-02-08T21:05:13.000Z,2018-01-22T19:23:02.000Z,2009-10-27T00:00:00.000Z,Asset Management Project,,59a3d08b-b51d-481c-be09-928e6acfd923,MOSER RIVER PARK,Community,Yes,90253,6180.402344,373.3895682
556,1261,Halifax,Yes,0.22,N,,HRM,1261,2019-02-08T21:05:13.000Z,2018-01-22T19:23:03.000Z,2009-08-31T00:00:00.000Z,Asset Management Project,,3214c645-d9e4-441a-8721-54379ee2dd1a,CRATHORNE PARK,Neighbourhood,Yes,147280,4273.957031,572.6593993
557,1279,Halifax,Yes,7.49,N,,HRM,1279,2019-02-08T21:05:13.000Z,2018-01-22T19:23:03.000Z,2008-12-08T00:00:00.000Z,Asset Management Project,,85a7b888-81e3-4158-9ff7-f4738118bde2,CRANBERRY LAKE PARK,Community,Yes,146778,148179.875,4126.73427
558,1282,Halifax,Yes,0.08,N,,NA,1282,2019-02-08T21:05:13.000Z,2018-01-22T19:23:04.000Z,2008-12-15T00:00:00.000Z,Asset Management Project,,ecd7157f-3d0c-43af-aa03-584aae9a7dff,ALPINE DRIVE PARK,Neighbourhood,No,123084,1655.332031,171.6740924
559,518,Halifax,Yes,0.16,N,,HRM,518,2019-02-08T21:05:13.000Z,2018-01-22T19:23:05.000Z,2009-05-05T00:00:00.000Z,Asset Management Project,,db3966cf-5997-4298-a1d2-58fe3118296c,BEECHVILLE ESTATES PARK,Neighbourhood,Yes,127602,3216.0625,303.2665745
560,521,Halifax,Yes,0.24,N,,,521,2019-02-08T21:05:13.000Z,2018-01-22T19:23:03.000Z,,,,2f360f3a-2a05-42a3-9414-dc001b933ee2,TERENCE BAY PLAYGROUND,Neighbourhood,Yes,147422,4657.570313,294.7577266
561,523,Halifax,Yes,1.9,N,,HRM,523,2019-02-08T21:05:13.000Z,2018-01-22T19:23:04.000Z,2009-05-05T00:00:00.000Z,Asset Management Project,,e5d01136-7d12-48d9-a63b-eadf2b5b83f7,YEADON GREEN PARK,Community,Yes,131940,37441.875,931.4978684
562,525,"Private Person, Business, Organization or Agency",Yes,0.55,N,,HRM,525,2019-02-08T21:05:13.000Z,2019-06-12T12:47:04.000Z,2009-04-28T00:00:00.000Z,Field Work Operations,,1d975f9c-a4bc-4fe9-bb8e-ede5313123d2,WILCOT LANE PARK,Neighbourhood,Yes,146973,10908.16406,452.1821241
563,1341,Halifax,Yes,0.02,N,,HRM,1341,2019-02-08T21:05:13.000Z,2018-01-22T19:23:05.000Z,2009-03-31T00:00:00.000Z,Asset Management Project,,4bd62f69-76ca-43b0-943b-18e4713c5591,WALKWAY TO SIR SANDFORD FLEMMING PARK,Neighbourhood,Yes,147377,384.703125,132.7358751
564,1350,Halifax,Yes,0.54,A,,HRM,1350,2019-02-08T21:05:13.000Z,2018-01-22T19:23:05.000Z,2009-06-02T00:00:00.000Z,Asset Management Project,,57a5f8f5-b4fa-4ba2-b282-2f81f583df56,NAVIGATION WAY PARK,Neighbourhood,Yes,6095,10682.60547,404.9219218
565,214,Halifax,Yes,1.48,N,,HRM,214,2019-02-08T21:05:13.000Z,2018-01-22T19:23:04.000Z,2008-11-13T00:00:00.000Z,Asset Management Project,,f9634880-c2d9-45ae-9a42-5b6c156de312,WOODLAWN PARK,Community,Yes,126904,29340.36328,977.5280497
566,215,Halifax,Yes,2.01,N,,HRM,215,2019-02-08T21:05:13.000Z,2018-01-22T19:23:02.000Z,2009-10-28T00:00:00.000Z,Asset Management Project,,65be40f7-c811-4289-8290-87580436fbd5,WINLEY ESTATES PARK,Neighbourhood,No,98062,39960.71094,1857.722691
567,217,Halifax,Yes,0.69,N,,HRM,217,2019-02-08T21:05:13.000Z,2018-01-22T19:23:02.000Z,2009-11-24T00:00:00.000Z,Asset Management Project,,ad4dc9e3-f381-44fe-b4d5-e6b04f85f5c4,SUNSET ACRES PARK,Community,Yes,109455,13712.69531,505.9206363
568,2722,Halifax,Yes,0.4,N,,HRM,2722,2019-02-08T21:05:13.000Z,2018-01-22T19:23:05.000Z,2009-11-04T00:00:00.000Z,Asset Management Project,,21cbe29c-c2ca-4148-87e1-96d03360e457,DELANEY DRIVE PARK,Neighbourhood,No,93448,7894.882813,381.6242614
569,2723,Halifax,Yes,0.86,N,,HRM,2723,2019-02-08T21:05:13.000Z,2018-01-22T19:23:02.000Z,2009-11-04T00:00:00.000Z,Asset Management Project,,d8e8bd7f-7b50-488b-bab6-c3758df682e7,SANDY LAKE ROAD PARK,Neighbourhood,No,146561,17165.48047,735.757358
570,2724,Halifax,Yes,3.81,N,,HRM,2724,2019-02-08T21:05:13.000Z,2018-01-22T19:23:05.000Z,2011-12-05T00:00:00.000Z,Asset Management Project,Interactive,230ba494-c520-43ee-a605-9f3a745f504b,LIZARD LAKE PARK,Neighbourhood,No,146560,75706.81641,2381.389755
571,5061,Halifax,Yes,1.32,N,,School Board,295,2019-02-08T21:05:13.000Z,2018-01-22T19:23:02.000Z,2007-11-06T13:52:43.000Z,Asset Management Project,,dc9415a9-34fe-4b72-addf-6b853ed948b8,HIGHLAND PARK JUNIOR HIGH SCHOOL PARK,District,Yes,62743,26066.50781,646.7836653
