FULL_NAME,STR_TYPE,STR_CODE_L,Shape__Length
DEGANIS DR,DR,7399,234.437472
ASPEN LANE,LANE,6987,232.7694133
COVEY RD,RD,7351,485.5993419
COWLOW COVE DR,DR,7353,451.5520823
COX LAKE RD,RD,7354,603.3697815
CRAIG ALLAN CRT,CRT,7355,196.6338736
CRAIGVIEW DR,DR,7356,976.680458
CRANBERRY CRES,CRES,7357,495.8014245
HIBERNIA CRT,CRT,6314,235.4684122
HEMMING CRT,CRT,6309,211.9332537
RYE COVE LANE,LANE,15745,121.9522983
KAREN SCOTT DR,DR,7897,986.0673271
KEANS RD,RD,7901,286.3446262
BERNCRAY AVE,AVE,6055,329.5516771
BEVERLEY ST,ST,6060,224.0822312
CRESCO DR,DR,7363,741.4379323
CRESTFIELD DR,DR,7364,1064.005287
MOORE DR,DR,8242,319.5888593
MOORE RD,RD,8244,2820.762123
MOORES RD,RD,8245,478.826856
MOOSEHEAD RD,RD,8246,1545.032098
SEDRICH RD,RD,8669,1577.226009
BEECH TREE RUN,RUN,15463,1019.772669
WADEE CRT,CRT,15806,197.5233214
GEM LANE,LANE,15808,311.0510612
UNNAMED PDR UN,UN,99999,405.6308369
GANNET LANE,LANE,16238,797.7783498
BANTRY AVE,AVE,16239,449.0286552
KENNEDY DR,DR,6359,838.5686839
GAMMON RD,RD,7604,2319.195933
MERRY RD,RD,8206,466.9414413
MERSEY CRT,CRT,8207,332.2587766
MICHAEL LANE,LANE,8210,267.0765435
MICHELLE DR,DR,8212,1882.370307
MICMAC DR,DR,8213,1262.275903
MILFORD RD,RD,8216,4281.537626
MILL LANE,LANE,8217,466.8420894
PLEASANT HARBOUR LOOP,LOOP,8464,1071.947347
WISTERIA LANE,LANE,15658,3794.765281
PATRIQUIN LANE,LANE,15659,356.928989
CALEB LANE,LANE,15660,706.9432051
BLACK DUCK TERR,TERR,15662,912.0805469
CLAM HARBOUR RD,RD,10211,6248.502567
COUNTRYVIEW DR,DR,16469,26.42453262
COUNTRYVIEW DR,DR,16469,3163.52209
PEGGYS COVE RD,RD,10446,4123.817392
AVENGER PL,PL,7006,554.9935796
BADEN RD,RD,7011,605.6507764
CHURCHILL TERR,TERR,7282,189.1585221
SILVER BIRCH DR,DR,8716,2780.664525
KEATING DR,DR,7902,330.7087927
KEITH WEBBER RD,RD,7904,729.2761227
MURCHYVILLE RD,RD,8264,2457.320627
MURPHY RD,RD,8265,1500.292122
RAMAR DR,DR,8505,601.4980879
RANGE RD,RD,8506,1088.030791
RANSOMES RD,RD,8508,324.5788647
RAYS LANE,LANE,8511,321.9752083
RED MAPLE DR,DR,8513,229.3810373
REDBUD DR,DR,8515,106.9416161
TONI AVE,AVE,15456,1770.450192
OKOODA PATH,PATH,15545,2672.546267
COLONNA PL,PL,6152,576.6824582
COLUMBO DR,DR,6153,608.0660046
WESSEX HILL,HILL,16243,382.0586101
PEARL DR,DR,10772,624.9112285
PARKWAY DR,DR,8411,1003.984876
BAKER DR,DR,6032,2793.589352
SPENCE DR,DR,8755,760.3515505
WEYBURN RD,RD,6701,867.2222747
ALBERNI LANE,LANE,16610,230.0037533
CHARLOTTETOWN WAY,WAY,16616,692.7533112
MAGOG CRT,CRT,16617,58.57446937
